county_pcode,county_code,county_name,area_sqkm,population_2019
KE001,1,Mombasa,233.6,1208303
KE002,2,Kwale,8266.0,866802
KE003,3,Kilifi,12599.3,1453762
KE004,4,Tana River,39192.2,315941
KE005,5,Lamu,6047.0,143916
KE006,6,Taita Taveta,17131.1,340664
KE007,7,Garissa,43596.0,841319
KE008,8,Wajir,56668.6,781214
KE009,9,Mandera,25979.3,867420
KE010,10,Marsabit,76027.8,459767
KE011,11,Isiolo,25399.3,267993
KE012,12,Meru,6992.5,1545673
KE013,13,Tharaka-Nithi,2581.0,393170
KE014,14,Embu,2823.7,608575
KE015,15,Kitui,30456.8,1136154
KE016,16,Machakos,6044.3,1421898
KE017,17,Makueni,8174.9,987633
KE018,18,Nyandarua,3266.7,638269
KE019,19,Nyeri,3334.6,759133
KE020,20,Kirinyaga,1475.3,610380
KE021,21,Murang'a,2525.5,1056609
KE022,22,Kiambu,2543.0,2417600
KE023,23,Turkana,70131.7,926955
KE024,24,West Pokot,9305.5,621226
KE025,25,Samburu,21015.7,310320
KE026,26,Trans Nzoia,2484.7,990313
KE027,27,Uasin Gishu,3396.8,1163158
KE028,28,Elgeyo-Marakwet,3008.4,454468
KE029,29,Nandi,2835.8,885689
KE030,30,Baringo,10889.2,666750
KE031,31,Laikipia,9536.9,518542
KE032,32,Nakuru,7487.1,2162107
KE033,33,Narok,17912.2,1157847
KE034,34,Kajiado,21884.8,1117802
KE035,35,Kericho,2513.2,901749
KE036,36,Bomet,2438.2,875666
KE037,37,Kakamega,3008.0,1867539
KE038,38,Vihiga,560.5,590001
KE039,39,Bungoma,3016.2,1670535
KE040,40,Busia,1811.6,893653
KE041,41,Siaya,3520.4,993165
KE042,42,Kisumu,2665.0,1155551
KE043,43,Homa Bay,4731.9,1131927
KE044,44,Migori,3144.3,1116401
KE045,45,Kisii,1313.7,1266822
KE046,46,Nyamira,897.2,605563
KE047,47,Nairobi,707.5,4396828
